,Single_1,OS,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,128GB 8GB RAM,Display,Talk time,32GB 2GB RAM,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Dual,Single,2G bands,Resolution,128GB 4GB RAM,Announced,Technology,_1,SAR,GPU,Battery (new),Model Image,Size,Model Name,256GB 6GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,SAR EU,_2,SIM,Triple,Infrared port,Battery (old),Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,Games,Quad,Weight,WLAN,Video,Speed,NFC,Build,_5,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,3G bands,Video_1,_4,Sensors
CDMA 800,,"Android 11, Realme UI 2.0",Yes,,Mediatek Dimensity 810 (6 nm),,Cancelled,HDR,,,,,,,,,,No,18W wired,LTE,,,,About 190 EUR,,"13 MP, f/2.2, 26mm (wide), PDAF2 MP, f/2.4, (depth)","8 MP, f/2.0, 26mm (wide)",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2021, September 24",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-v11-s-5g.jpg,"6.5 inches, 102.0 cm2",Realme V11s 5G,,,,SA/NSA,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,8.4 mm thickness,,"128GB 4GB RAM, 128GB 6GB RAM",USB Type-C 2.0,RMX3125,,Yes,"5.1, A2DP, LE",,,189 g (6.67 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30/60fps,"HSPA, LTE, 5G",No,,,Realme,,,,"Black, Violet",IPS LCD,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer proximity, compass"
CDMA 800,,"Android 11, upgradable to Android 12, Realme UI 3.0",No,-25.1 LUFS (Very good),Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),,"Available. Released 2021, September 28","HDR, panorama",,659 nits max brightness (measured),,,,,,,,No,"65W wired, 100% in 36 min","1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",Photo/Video,,,About 980 EUR,24-bit/192kHz Hi-Res audio,,"16 MP, f/2.5, 26mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~398 ppi density)",,"2021, September 22",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Adreno 650,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt-neo2.jpg,"6.62 inches, 105.8 cm2(~85.7% screen-to-body ratio)",Realme GT Neo2,,,,"1, 3, 5, 8, 28, 41, 77, 78 SA/NSA","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS, NavIC",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),,UFS 3.1,Nano-SIM + Nano-SIM,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF8 MP, f/2.3, 16mm, 119˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,Endurance rating 111h,No,Corning Gorilla Glass 5,,162.9 x 75.8 x 9 mm (6.41 x 2.98 x 0.35 in),,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,RMX3370,,"Yes, with stereo speakers","5.1, A2DP, LE, aptX HD",,,199.8 g (7.05 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30/60fps, 1080p@30fps, gyro-EIS","HSPA, LTE, 5G",Yes,"Glass front (Gorilla Glass 5), plastic frame, plastic back",,Realme,,,,"Neo Black, Neo Blue, Neo Green","AMOLED, 120Hz, HDR10+, 1300 nits (peak)",AnTuTu: 726039 (v9)GeekBench: 3185 (v5.1)GFXBench: 49fps (ES 3.1 onscreen),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1080p@30fps, gyro-EIS",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
eMMC 5.1,,"Android 11, Realme UI R",Yes,,Unisoc T610 (12 nm),,"Available. Released 2021, September 30",HDR,,,,,,,,,,Unspecified,18W wired,"1, 3, 5, 8, 38, 40, 41",,,,About 140 EUR,,,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2021, September 16",GSM / HSPA / LTE,,,Mali-G52 MP2,,https://fdn2.gsmarena.com/vv/bigpic/realme-c25y.jpg,"6.5 inches, 102.0 cm2(~81.6% screen-to-body ratio)",Realme C25Y,,,,,"GPS, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, 26mm (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,microSDXC (dedicated slot),,,164.5 x 76 x 9.1 mm (6.48 x 2.99 x 0.36 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",microUSB 2.0,"RMX3265, RMX3268, RMX3269",,Yes,"5.0, A2DP, LE",,,200 g (7.05 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,"Glass front, plastic back, plastic frame",,Realme,,,,"Glacier Blue, Metal Gray","IPS LCD, 420 nits (typ)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
UFS 2.1,,"Android 11, Realme UI 2.0",Yes,-27.8 LUFS (Good),Mediatek Dimensity 810 (6 nm),,"Available. Released 2021, September 13","HDR, panorama",,"1322:1 contrast ratio, 530 nits max brightness (measured)",,,,,,,,Unspecified,33W wired,"1, 2, 3, 5, 7, 8, 28, 34, 38, 39, 40, 41",Photo/Video,,,About 210 EUR,,,"16 MP, f/2.1, 26mm (wide), 1/3.0"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,"2021, September 09",GSM / HSPA / LTE / 5G,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-8s-5g.jpg,"6.5 inches, 102.0 cm2(~83.9% screen-to-body ratio)",Realme 8s 5G,,,,"1, 28, 41, 77, 78 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"64 MP, f/1.8, 26mm (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,Endurance rating 123h,microSDXC (dedicated slot),,,162.5 x 74.8 x 8.8 mm (6.40 x 2.94 x 0.35 in),,"128GB 6GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG",RMX3381,,Yes,"5.1, A2DP, LE",,,191 g (6.74 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","1080p@30fps, gyro-EIS","HSPA, LTE, 5G",No,,,Realme,,,,"Blue, Purple","IPS LCD, 90Hz, 600 nits (peak)","AnTuTu:  329661 (v8),  383409 (v9)GeekBench: 7314 (v4.4), 1842 (v5.1)GFXBench: 14fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 1900 / 2100,"1080p@30fps, gyro-EIS",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
UFS 2.1,,"Android 11, Realme UI 2.0",Yes,-28.4 LUFS (Average),Mediatek MT6781 Helio G96 (12 nm),,"Available. Released 2021, September 14",Panorama,,"1244:1 contrast ratio, 540 nits max brightness (measured)",,,,,,,,No,18W wired,"1, 3, 5, 8, 38, 40, 41",Photo/Video,,$ 375.00,"€ 159.07 / $ 375.00 / ₹ 7,949",,,"16 MP, f/2.1, (wide), 1/3.0"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~400 ppi density)",€ 159.07,"2021, September 09",GSM / HSPA / LTE,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-8i.jpg,"6.6 inches, 104.8 cm2(~84.6% screen-to-body ratio)",Realme 8i,,,,,"GPS, GLONASS, GALILEO, BDS","₹ 8,989",5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, 26mm (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,Endurance rating 131h,microSDXC (dedicated slot),,,164.1 x 75.5 x 8.5 mm (6.46 x 2.97 x 0.33 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","USB Type-C 2.0, OTG",RMX3151,,Yes,"5.1, A2DP, LE",,,194 g (6.84 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",Yes (market/region dependent),"Glass front, plastic frame, plastic back",,Realme,,,,"Space Black, Space Purple","IPS LCD, 120Hz, 600 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
24-bit/192kHz Hi-Res audio,"8 MP, 105˚ (ultrawide)",Android 11,Yes,-22.4 LUFS (Excellent),Mediatek MT6769V/CU Helio G80 (12 nm),,"Available. Released 2021, September 16",,,"1554:1 contrast ratio, 455 nits max brightness (measured)",,,,,,,,No,18W wired5W reverse wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,About 160 EUR,,,8 MP,GSM 850 / 900 / 1800 / 1900,"1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",,"2021, September 09",GSM / HSPA / LTE,,,Mali-G52 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-pad.jpg,"10.4 inches, 307.9 cm2(~80.2% screen-to-body ratio)",Realme Pad,,,,,"GPS, GLONASS, BDS - cellular model only",,7100 mAh,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM (cellular model only),,,,microSDXC (uses shared SIM slot),,,246.1 x 155.9 x 6.9 mm (9.69 x 6.14 x 0.27 in),,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 6GB RAM","USB Type-C 2.0, OTG","RMP2102, RMP2103",,"Yes, with stereo speakers (4 speakers)","5.0, A2DP, LE",,,440 g (15.52 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,"HSPA, LTE - cellular model only",No,"Glass front, aluminum frame, aluminum back",,Realme,,,,"Gray, Gold","IPS LCD, 360 nits (typ)","AnTuTu: 187913 (v8), 226474 (v9)GeekBench: 1236 (v5.1)GFXBench: 8.5fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 2100,1080p@30fps,,"Accelerometer, gyro, proximity"
CDMA 800,,"Android 11, Realme UI 2.0",No,-25.6 LUFS (Very good),Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),,"Available. Released 2021, July 27","Panorama, HDR",,805 nits max brightness (measured),,,,,,,,No,"65W wired, 50% in 13 min, 100% in 33 min","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41",Photo/Video,,,About 380 EUR,24-bit/192kHz Hi-Res audio,,"32 MP, f/2.5, 26mm (wide), 1/2.74"", 0.8µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",,"2021, July 21",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Adreno 650,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt-master-explorer.jpg,"6.55 inches, 103.6 cm2(~89.3% screen-to-body ratio)",Realme GT Explorer Master,,,,"1, 3, 5, 8, 28, 41, 77, 78 SA/NSA","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,4500 mAh,,"Dual-LED flash, HDR, panorama",Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),,UFS,Nano-SIM + Nano-SIM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS16 MP, f/2.2, 14mm, 123˚ (ultrawide), 1/3.09"", 1.0µm2 MP, f/2.4, (macro)",,Endurance rating 117h,No,Corning Gorilla Glass 5,,159.9 mm x 72.5 mm x 8.0/8.8 mm (depending on color),,"128GB 8GB RAM, 256GB 12GB RAM","USB Type-C 2.0, OTG",,,"Yes, with stereo speakers","5.2, A2DP, LE",,,183.5/185 g (depending on color) (6.49 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30/60fps, 1080p@30/60fps, gyro-EIS","HSPA, LTE, 5G",Yes,"Glass front (Gorilla Glass 5), plastic back, aluminum frame",,Realme,,,,"Gray, White, Aurora, Apricot","Super AMOLED, 120Hz, HDR10+, 1100 nits (peak)",AnTuTu: 717879 (v9)GeekBench: 3050 (v5.1)GFXBench: 50fps (ES 3.1 onscreen),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 11, upgradable to Android 13, Realme UI 4.0",Yes,-29.2 LUFS (Average),Qualcomm SM7325 Snapdragon 778G 5G (6 nm),,"Available. Released 2021, July 30","HDR, panorama","₹ 15,799",634 nits max brightness (measured),,,,€ 276.09,,,,No,"65W wired, 100% in 33 min","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International",Photo/Video,,,"€ 276.09 / $ 309.99 / ₹ 14,449","1, 3, 5, 8, 28, 41, 77, 78 SA/NSA - China",,"32 MP, f/2.5, 26mm (wide), 1/2.74"", 0.8µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,"2021, July 21",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Adreno 642L,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt-master.jpg,"6.43 inches, 99.8 cm2(~85.3% screen-to-body ratio)",Realme GT Master,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International","GPS, GLONASS, GALILEO, BDS, QZSS",$ 539.00,4300 mAh,,"LED flash, HDR, panorama",Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41 - China",Nano-SIM + Nano-SIM,"64 MP, f/1.8, 25mm (wide), 1/2.0"", 0.7µm, PDAF8 MP, f/2.2, 16mm, 119˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,Endurance rating 114h,No,,,159.2 mm x 73.5 mm x 8.0/8.7 mm (depending on color),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG","RMX3363, RMX3360",,Yes,"5.2, A2DP, LE",,,174/180 g (depending on color) (6.14 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, gyro-EIS","HSPA, LTE, 5G",Yes,"Glass front, plastic frame, plastic back",24-bit/192kHz Hi-Res audio,Realme,,,,"Black, Gray, White, Aurora","Super AMOLED, 120Hz, 1000 nits (peak)",AnTuTu: 529263 (v9)GeekBench: 2917 (v5.1)GFXBench: 27fps (ES 3.1 onscreen),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,UFS,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
eMMC 5.1,,Android 10/ Android 11,Yes,,Unisoc T610 (12 nm),,"Available. Released 2021, July 02","HDR, panorama",,,,,,,,,,Unspecified,Reverse wired,"1, 3, 5, 8, 38, 40, 41",,,,About 130 EUR,,"13 MP, f/2.2, 26mm (wide), 1/3.06"", 1.12µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2021, June 21",GSM / HSPA / LTE,,,Mali-G52 MP2,,https://fdn2.gsmarena.com/vv/bigpic/realme-c21y.jpg,"6.5 inches, 102.0 cm2(~81.6% screen-to-body ratio)",Realme C21Y,,,,,"GPS, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,164.5 x 76 x 9.1 mm (6.48 x 2.99 x 0.36 in),,"32GB 3GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG","RMX3261, RMX3263",,Yes,"5.0, A2DP, LE",,,200 g (7.05 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,"Glass front, plastic back, plastic frame",,Realme,,,,"Cross Black, Cross Blue","IPS LCD, 400 nits (typ)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
Splash resistant design,"5 MP, f/2.2, (wide)","Android 11, Realme Go UI",Yes,,Unisoc SC9863A (28 nm),,"Available. Released 2021, June 28","HDR, panorama",,,,"₹ 5,899",,,,,,Unspecified,10W wiredReverse wired,"1, 3, 5, 8, 38, 40, 41",,,"₹ 8,999","₹ 5,899",,,"8 MP, f/2.0, (wide), AF",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,"2021, June 28",GSM / HSPA / LTE,eMMC 5.1,,IMG8322,,https://fdn2.gsmarena.com/vv/bigpic/realme-c11-2021.jpg,"6.52 inches, 102.6 cm2(~81.3% screen-to-body ratio)",Realme C11 (2021),,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,165.2 x 76.4 x 8.9 mm (6.50 x 3.01 x 0.35 in),,"32GB 2GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG",RMX3231,,Yes,"4.2, A2DP",,,190 g (6.70 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Cool Blue, Cool Grey","IPS LCD, 400 nits (typ)",,HSDPA 850 / 900 / 1900 / 2100,1080p@30fps,,"Accelerometer, gyro, proximity, compass"
eMMC 5.1,,"Android 11, Realme UI 2.0",Yes,,Mediatek MT6769Z Helio G85 (12 nm),,"Available. Released 2021, June 09","HDR, panorama",,,,,,,,,,Unspecified,18W wired5W reverse wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,About 180 EUR,,,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2021, June 08",GSM / HSPA / LTE,,,Mali-G52 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-c25s.jpg,"6.5 inches, 102.0 cm2(~81.7% screen-to-body ratio)",Realme C25s,,,,,"GPS, GLONASS, BDS",,6000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"48 MP, f/1.8, 26mm (wide), PDAF (International model)or13 MP, f/2.2, 26mm (wide), 1/3.06"", 1.12µm, PDAF (India model)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,microSDXC (dedicated slot),,,164.5 x 75.9 x 9.6 mm (6.48 x 2.99 x 0.38 in),,"64GB 4GB RAM, 128GB 4GB RAM","USB Type-C 2.0, OTG","RMX3195, RMX3197",,Yes,"5.0, A2DP, LE",,,209 g (7.37 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30/60fps,"HSPA, LTE",No,"Glass front, plastic back, plastic frame",,Realme,,,,"Water Blue, Water Gray","IPS LCD, 480 nits (typ), 570 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
Splash resistant,,"Android 11, upgradable to Android 13, Realme UI 4",Yes,-25.1 LUFS (Very good),Mediatek Dimensity 1200 (6 nm),,"Available. Released 2021, June 04","HDR, panorama",,640 nits max brightness (measured),,,,,,,,No,"50W wired, 50% in 16 min2.5W reverse wired","1, 2, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41",Photo/Video,,,About 310 EUR,,,"16 MP, f/2.5, 26mm (wide), 1/3.0"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,"2021, May 31",GSM / HSPA / LTE / 5G,UFS 3.1,,Mali-G77 MC9,,https://fdn2.gsmarena.com/vv/bigpic/realme-x7-max-5g.jpg,"6.43 inches, 99.8 cm2(~85.9% screen-to-body ratio)",Realme X7 Max 5G,,,,"1, 28, 40, 41, 77, 78, 79 SA/NSA","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,4500 mAh,,"Dual-LED dual-tone flash, HDR, panorama",Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF8 MP, f/2.3, 16mm, 119˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,Endurance rating 110h,No,Dragontrail Glass,,158.5 x 73.3 x 8.4 mm (6.24 x 2.89 x 0.33 in),,"128GB 8GB RAM, 256GB 12GB RAM","USB Type-C 2.0, OTG",,,"Yes, with stereo speakers","5.1, A2DP, LE, aptX HD",,,179 g (6.31 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30/60fps, 1080p@30/60/480fps, gyro-EIS","HSPA, LTE, 5G",Yes,"Glass front, plastic frame, plastic back",,Realme,,,,"Mercury Silver, Asteroid Black, Milky Way","Super AMOLED, 120Hz, 1000 nits (peak)","AnTuTu: 605819 (v8), 680671 (v9)GeekBench: 13105 (v4.4), 2614 (v5.1)GFXBench: 44fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
24-bit/192kHz Hi-Res audio,,"Android 11, upgradable to Android 12, Realme UI 3.0",Yes,,Mediatek Dimensity 700 (7 nm),,"Available. Released 2021, June 11",HDR,,,,,,,,,,Unspecified,18W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 66",,,,About 110 EUR,,,"16 MP, f/2.1, 26mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,"2021, May 26",GSM / HSPA / LTE / 5G,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-30-5g.jpg,"6.5 inches, 102.0 cm2(~83.9% screen-to-body ratio)",Realme Narzo 30 5G,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA","GPS, GLONASS, BDS, GALILEO, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"48 MP, f/1.8, 26mm (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,microSDXC (dedicated slot),,,162.5 x 74.8 x 8.5 mm (6.40 x 2.94 x 0.33 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","USB Type-C 2.0, OTG",RMX3242,,Yes,"5.1, A2DP, LE",,,185 g (6.53 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,"HSPA, LTE, 5G",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Racing Blue, Racing Silver","IPS LCD, 90Hz, 480 nits (typ), 600 nits (peak)",,HSDPA 800 / 850 / 900 / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 11, Realme UI 2.0",Yes,,Qualcomm SM7250-AC Snapdragon 768G 5G (7 nm),,"Available. Released 2021, June 06","HDR, panorama",,,,,,,,,,No,"50W wired, 100% in 45 min",LTE,,,,About 230 EUR,24-bit/192kHz Hi-Res audio,,"32 MP, (wide), 1/2.74"", 0.8µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,"2021, May 25",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,CDMA2000 1x,,Adreno 620,,https://fdn2.gsmarena.com/vv/bigpic/realme-q3-pro-carnival-edition.jpg,"6.43 inches, 99.8 cm2",Realme Q3 Pro Carnival,,,,SA/NSA,"GPS, GLONASS, GALILEO, BDS, QZSS",,4500 mAh,,"LED flash, HDR, panorama",Octa-core (1x2.8 GHz Kryo 475 Prime & 1x2.4 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),,UFS 3.1,Nano-SIM + Nano-SIM,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF8 MP, f/2.3, 16mm, 119˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,,No,,,7.9 mm thickness,,128GB 8GB RAM,USB Type-C 2.0,RMX3142,,"Yes, with stereo speakers","5.1, A2DP, LE",,,174 g (6.14 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30/60fps, 1080p@30/60fps, gyro-EIS","HSPA, LTE, 5G",No,,,Realme,,,,"Black, Aurora","Super AMOLED, 120Hz, 600 nits",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
