Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
,,Screensavers and wallpapers,,,,,,Yes,No,3 games + downloadable,0.66 W/kg (head),,MP3/WAV/AAC playerVoice memoOrganizerPredictive text input,About 60 EUR,,No,,Mini-SIM,,,75 g (2.65 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),,microSD (dedicated slot),,,,,,"2008, October. Released 2009, June",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-e100.jpg,"1.8 inches, 10.2 cm2(~22.3% screen-to-body ratio)",Philips E100,,"SMS, MMS",Black,"CSTN, 65K colors",Yes,Class 12,104 x 44 x 13.7 mm (4.09 x 1.73 x 0.54 in),2MB,No,No,No,FM radio,,,,,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,,Screensavers and wallpapers,,,Up to 1440 h,,,Yes,"2.0, A2DP",3 games + downloadable,0.72 W/kg (head),,MP3/WAV/AAC playerVoice memoOrganizerPredictive text input,About 150 EUR,,No,,Mini-SIM,,1.3 MP,110 g (3.88 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels (~157 ppi density),Up to 16 h,microSD (dedicated slot),,,,,,"2008, October",,GSM,No,0.34 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x500.jpg,"1.8 inches, 10.2 cm2(~22.8% screen-to-body ratio)",Philips X500,,"SMS, MMS",Black on gray,"TFT, 256K colors",Yes,Class 10,105.6 x 42.4 x 17.9 mm (4.16 x 1.67 x 0.70 in),10MB,miniUSB 1.1,Class 10,No,"Stereo FM radio, RDS",,,,128x96@15fps,Removable Li-Po 1720 mAh battery,,,"Yes, MIDP 2.0"
,,Screensavers and wallpapers,,,,,,Yes,"2.0, A2DP",Yes,0.86 W/kg (head),,Dedicated music player keys,,MP3/WAV/AAC playerOrganizerVoice memoPredictive text input,No,,Mini-SIM,,,70 g (2.47 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),,microSD (dedicated slot),,,,,,"2008, September. Released 2008",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-m200.jpg,"1.8 inches, 10.2 cm2(~22.1% screen-to-body ratio)",Philips M200,,"SMS, MMS",Black,"CSTN, 65K colors",Yes,Class 10,105 x 44 x 15.3 mm (4.13 x 1.73 x 0.60 in),3MB,miniUSB 1.1,No,No,FM radio,,,,,Removable Li-Po 1050 mAh battery,,,"Yes, MIDP 2.0"
,,4-way navigation keyScreensavers and wallpapers,,,,,,Yes,No,Yes,,,OrganizerVoice memo,,,No,,Mini-SIM,,VGA,77.5 g (2.72 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,128 x 160 pixels (~117 ppi density),,No,,,,,,"2008, September. Released 2008",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x300.jpg,"1.75 inches, 9.6 cm2(~20.9% screen-to-body ratio)",Philips Xenium X300,,"SMS, EMS, MMS",Black,"CSTN resistive touchscreen, 65K colors","Yes, Photocall",Class 10,105 x 44 x 15.8 mm (4.13 x 1.73 x 0.62 in),3MB,Proprietary,No,No,FM radio,,,,No,Removable Li-Ion 890 mAh battery,,,Yes
,,External monochrome display4-way navigation keyScreensavers and wallpapers,,,Up to 720 h,,,Yes,"2.0, A2DP",Yes,0.27 W/kg (head),,MP3/WAV/AAC/MP4 playerOrganizerLunar CalendarVoice memo,,,No,,Mini-SIM,,1.3 MP,86 g (3.03 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML",176 x 220 pixels (~141 ppi density),Up to 8 h,microSD (dedicated slot),,,,,,"2008, July. Released 2008, September",,GSM,No,0.08 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9q.jpg,"2.0 inches, 12.6 cm2(~27.3% screen-to-body ratio)",Philips Xenium 9@9q,,"SMS, MMS, Email, Instant Messaging",Phantom Black,"TFT, 256K colors","Yes, Photocall",Class 10,99.3 x 46.5 x 18.3 mm (3.91 x 1.83 x 0.72 in),10.5MB,miniUSB,Class 10,No,No,,,,QCIF@12.5fps,Removable Li-Ion 890 mAh battery,,,"Yes, MIDP 2.0"
,,4-way navigation key,,,Up to 220 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,No,Yes,,,MP3 playerOrganizer,,,No,,Mini-SIM,,VGA,82 g (2.89 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 3 h,microSD (dedicated slot),,,,,,"2008, May. Released 2008",,GSM,No,0.88 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-298.jpg,"1.8 inches, 10.2 cm2(~22.1% screen-to-body ratio)",Philips 298,,"SMS, EMS, MMS",Gray,"TFT, 256K colors",Yes,Class 10,97 x 47.5 x 13.9 mm (3.82 x 1.87 x 0.55 in),400 KB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 600 mAh battery,,,No
,,Screensavers and wallpapersHandwriting recognition,,,Up to 850 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",3 games + downloadable,0.85 W/kg (head),,"MP3/MP4/WAV/AAC playerDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerVoice memo",About 370 EUR,,No,,Mini-SIM,,"2 MP, AF",99 g (3.49 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 400 pixels (Wide QVGA), 5:3 ratio (~167 ppi density)",Up to 10 h,microSDHC (dedicated slot),,,,,,"2008, May. Released 2008",,GSM,No,0.73 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x800.jpg,"2.8 inches, 22.3 cm2(~42.2% screen-to-body ratio)",Philips X800,,"SMS, MMS, Email",Black,"TFT resistive touchscreen, 256K colors",Yes,Class 12,101 x 52.4 x 16.3 mm (3.98 x 2.06 x 0.64 in),47MB 64MB RAM 128 ROM,miniUSB,Class 10,No,No,,,,CIF@30fps,Removable Li-Ion 1250 mAh battery,,,"Yes, MIDP 2.0"
,,Screensavers and wallpapers,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",Yes,0.46 W/kg (head),,Dedicated music player keys,,MP3/WAV/AAC playerOrganizerSmart PhonebookSafeguardVoice memo,No,,Mini-SIM,,1.3 MP,,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),,microSD (dedicated slot),,,,,,"2008, April. Released 2008",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-m600.jpg,"2.0 inches, 12.6 cm2(~27.2% screen-to-body ratio)",Philips M600,,"SMS, EMS, MMS",Black,"TFT, 256K colors",Yes,Class 10,105 x 44 x 15.3 mm (4.13 x 1.73 x 0.60 in),,miniUSB 1.1,No,No,No,,,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,,Screensavers and wallpapers,,,Up to 750 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,No,Yes,0.69 W/kg (head),,MP3/WAV/AAC playerOrganizerVoice memo,,,No,,Dual SIM (Mini-SIM),,VGA,75 g (2.65 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,WAP,128 x 160 pixels (~117 ppi density),Up to 8 h,No,,,,,,"2008, April. Released 2008",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9v.jpg,"1.75 inches, 9.6 cm2(~20.9% screen-to-body ratio)",Philips Xenium 9@9v,,"SMS, EMS, MMS, Email",Black Perfection,"TFT resistive touchscreen, 65K colors",Yes,Class 10,105 x 44 x 15.8 mm (4.13 x 1.73 x 0.62 in),,miniUSB,No,No,No,,,,No,Removable Li-Ion 890 mAh battery,,,"Yes, MIDP 2.0"
,,4-way navigation key,,,Up to 240 h,Vibration; Polyphonic(16) ringtones,,Yes,No,No,0.93 W/kg (head),,multi-person SMSOrganizer,About 30 EUR,,No,,Mini-SIM,,,59.7 g (2.08 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,No,"128 x 128 pixels, 1:1 ratio (~123 ppi density)",Up to 3 h,No,,,,,,"2008, April. Released 2008, May",,GSM,No,1.42 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-192.jpg,"1.47 inches, 7.0 cm2(~14.8% screen-to-body ratio)",Philips 192,,SMS,Black,"CSTN, 65K colors",Yes,No,104.5 x 45 x 12.8 mm (4.11 x 1.77 x 0.50 in),,No,No,No,No,,,,,Removable Li-Ion 650 mAh battery,,,No
,,4-way navigation key,,,,Vibration; Polyphonic(16) ringtones,,No,No,No,,,Organizer,About 30 EUR,,No,,Mini-SIM,,,59.7 g (2.08 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,No,"96 x 64 pixels, 3:2 ratio (~92 ppi density)",,No,,,,,,"2008, May. Released 2008, May",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-191.jpg,"1.25 inches, 4.7 cm2(~9.9% screen-to-body ratio)",Philips 191,,SMS,Black,"CSTN, Monochrome",Yes,No,104.5 x 45 x 12.8 mm (4.11 x 1.77 x 0.50 in),,No,No,No,No,,,,,Removable Li-Ion battery,,,No
,,4-way navigation keyScreensavers and wallpapers,,,Up to 740 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",Yes,,,Extra standby/talk time with any AAA batteryMP3/WAV/AAC/MP4 playerOrganizerLunar CalendarVoice memo,,,No,,Mini-SIM,,1.3 MP,91 g (3.21 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,WAP,176 x 220 pixels,Up to 8 h,microSD (dedicated slot),,,,,,"2008, March",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-9@9j.jpg,,Philips Xenium 9@9j,,"SMS, EMS, MMS, Email",Silver/Black,"TFT, 256K colors","Yes, Photocall",Class 10,107 x 44.5 x 14.8 mm (4.21 x 1.75 x 0.58 in),,miniUSB,Yes,No,FM radio,,,,QCIF,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,,4-way navigation keyScreensavers and wallpapers,,,Up to 740 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",Yes,0.28 W/kg (head),,MP3/WAV/AAC/MP4 playerOrganizerLunar CalendarVoice memo,,,No,,Mini-SIM,,2 MP,91 g (3.21 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,WAP,176 x 220 pixels (~141 ppi density),Up to 8 h,microSD (dedicated slot),,,,,,"2008, January",,GSM,No,0.93 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9u.jpg,"2.0 inches, 12.6 cm2(~26.4% screen-to-body ratio)",Philips Xenium 9@9u,,"SMS, EMS, MMS, Email",Midnight Black,"TFT, 256K colors","Yes, Photocall",Class 12,107 x 44.5 x 14.8 mm (4.21 x 1.75 x 0.58 in),25MB,miniUSB,Yes,No,FM radio,,,,@30fps,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
,,Handwriting recognition4-way navigation keyScreensavers and wallpapers,,,Up to 655 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",2 embedded,1.83 W/kg (head),,MP3/MP4 playerFemale calendarENG/CHN and CHN/ENG dictionaryVoice memo,,,No,,Mini-SIM,,1.3 MP,83 g (2.93 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 5 h,microSD (dedicated slot),,,,,,"2008, January. Released 2008",,GSM,No,1.02 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-392.jpg,"2.4 inches, 17.8 cm2(~36.1% screen-to-body ratio)",Philips 392,,"SMS, EMS, MMS",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 10,105 x 47 x 13.8 mm (4.13 x 1.85 x 0.54 in),11MB,miniUSB,No,No,No,,,,120p,Removable Li-Ion 980 mAh battery,,,No
,,Handwriting recognitionScreensavers and wallpapers,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,Yes,Yes,0.36 W/kg (head),,"MP3/MP4 playerENG-CHN, CHN-ENG dictionaryFemale calendarWeight managementInternational clockOrganizerStopwatch",,,No,,Mini-SIM,,1.3 MP,102 g (3.60 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,microSD (dedicated slot),"Chinese Simplified & Traditional, English",,,,,"2008, January. Released 2008",,GSM,No,0.61 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-692.jpg,"2.4 inches, 17.8 cm2(~35.7% screen-to-body ratio)",Philips 692,,"SMS, EMS, MMS",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 10,104 x 48 x 14.9 mm (4.09 x 1.89 x 0.59 in),11MB,miniUSB,No,No,No,,,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,,Handwriting recognitionScreensavers and wallpapers,,,Up to 250 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",Yes,,,"MP3/MP4 playerFemale calendarWeight managementInternational converterENG-CHN, CHN-ENG dictionaryVoice memo",,,No,,Dual SIM (Mini-SIM),,1.3 MP,98 g (3.46 oz),,"30 received, dialed and missed calls",Cancelled,No,,,GSM 900 / 1800,,WAP v1.2,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 2 h 30 min,microSD (dedicated slot),"Chinese Simplified & Traditional, English",,,,,"2007, August",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-699-dual-sim.gif,"2.6 inches, 20.9 cm2(~35.3% screen-to-body ratio)",Philips 699 Dual SIM,,"SMS, EMS, MMS",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 10,106 x 56 x 15 mm (4.17 x 2.20 x 0.59 in),11MB,miniUSB,No,No,"Stereo FM radio, RDS",,,,320p,Removable Li-Ion 850 mAh battery,,,"Yes, MIDP 2.0"
,,Handwriting recognitionScreensavers and wallpapers,,,Up to 300 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",Yes,,,"MP3/MP4 playerENG-CHN, CHN-ENG dictionaryDocument viewer (Word, Excel, PowerPoint, PDF)Voice memo",,,No,,Mini-SIM,,2 MP,101 g (3.56 oz),,"30 received, dialed and missed calls",Cancelled,No,,,GSM 900 / 1800,,WAP v1.2,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 5 h,microSD (dedicated slot),"Chinese Simplified & Traditional, English",,,,,"2007, August",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-892.gif,"2.6 inches, 20.9 cm2(~34.6% screen-to-body ratio)",Philips 892,,"SMS, EMS, MMS, Email",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 10,108 x 56 x 15 mm (4.25 x 2.20 x 0.59 in),4MB,miniUSB,Yes,No,No,,,,320p,Removable Li-Ion 910 mAh battery,,,"Yes, MIDP 2.0"
,,Handwriting recognition4-way navigation keyScreensavers and wallpapers,,,Up to 240 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",Yes,,,MP3/MP4 playerFemale calendarENG/CHN and CHN/ENG dictionaryVoice memo,,,No,,Mini-SIM,,1.3 MP,80 g (2.82 oz),,"30 received, dialed and missed calls",Cancelled,No,,,GSM 900 / 1800,,WAP,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 3 h,microSD (dedicated slot),,,,,,"2007, July",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-399.gif,"2.6 inches, 20.9 cm2(~41.9% screen-to-body ratio)",Philips 399,,"SMS, EMS, MMS","Matt Black, High Glossy Black, Red","TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 10,102 x 49 x 13 mm (4.02 x 1.93 x 0.51 in),11MB,miniUSB,No,No,No,,,,120p,Removable Li-Ion 820 mAh battery,,,"Yes, MIDP 2.0"
,,4-way navigation key,,,Up to 250 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,No,3 embedded,,,MP3 playerOrganizer,,,No,,Mini-SIM,,1.3 MP,98 g (3.46 oz),,"30 received, dialed and missed calls",Cancelled,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 3 h,microSD (dedicated slot),,,,,,"2007, May",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-390.gif,"2.0 inches, 12.6 cm2(~27.0% screen-to-body ratio)",Philips 390,,"SMS, EMS, MMS",Black,"TFT, 256K colors",Yes,Class 10,97 x 48 x 16 mm (3.82 x 1.89 x 0.63 in),64MB,Proprietary,No,No,No,,,,120p,Removable Li-Ion 620 mAh battery,,,No
,,4-way navigation keyScreensavers and wallpapers,,,Up to 1440 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,Yes,Yes,0.59 W/kg (head),,MP3/MP4 playerOrganizerLunar calendarStopwatch countdown timerVoice memo,About 150 EUR,,No,,Mini-SIM,,VGA,108 g (3.81 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 17 h,microSD (dedicated slot),,,,,,"2007, November",,GSM,No,0.47 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9k.jpg,"1.8 inches, 10.2 cm2(~23.3% screen-to-body ratio)",Philips Xenium 9@9k,,"SMS, MMS, Email",Majestic Black,"TFT, 65K colors","1000 entries, Photocall",Class 10,104.3 x 42 x 18.7 mm (4.11 x 1.65 x 0.74 in),2MB,miniUSB,No,No,FM radio,,,,128x96@15fps,Removable Li-Ion 1790 mAh battery,,,No
,,4-way navigation keyScreensavers and wallpapers,,,Up to 720 h,"Vibration; Polyphonic(16), MP3 ringtones",,No,No,2 embedded,0.51 W/kg (head),,OrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,,74.5 g (2.61 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,"128 x 128 pixels, 1:1 ratio (~124 ppi density)",Up to 8 h,No,,,,,,"2007, August",,GSM,No,0.76 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9z.gif,"1.46 inches, 6.9 cm2(~16.9% screen-to-body ratio)",Philips Xenium 9@9z,,"SMS, EMS, MMS",White,"CSTN, 65K colors",Yes,No,95.5 x 42.5 x 16.1 mm (3.76 x 1.67 x 0.63 in),,miniUSB,No,No,FM radio,,,,,Removable Li-Ion 900 mAh battery,,,No
,,4-way navigation keyScreensavers and wallpapers,,,Up to 720 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",Yes,0.87 W/kg (head),,MP3/WAV/AAC/MP4 playerOrganizerLunar CalendarVoice memo,,,No,,Dual SIM (Mini-SIM),,2 MP,90 g (3.17 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP,176 x 220 pixels (~146 ppi density),Up to 8 h,microSD (dedicated slot),,,,,,"2007, August",,GSM,No,1.21 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9w.gif,"1.93 inches, 11.7 cm2(~21.9% screen-to-body ratio)",Philips Xenium 9@9w,,"SMS, EMS, MMS, Email","Titan Black, Titan Coco","TFT, 256K colors","Yes, Photocall",Class 10,103 x 52 x 12 mm (4.06 x 2.05 x 0.47 in),11MB,miniUSB,No,No,No,,,,@30fps,Removable Li-Ion 920 mAh battery,,,"Yes, MIDP 2.0"
,,Handwriting recognition4-way navigation keyScreensavers and wallpapers,,,Up to 740 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",Yes,,,MP3/MP4 playerOrganizerENG/CHN and CHN/ENG dictionaryLunar calendarChinese festival reminderVoice memo,,,No,,Mini-SIM,,2 MP,109 g (3.84 oz),,"30 received, dialed and missed calls",Cancelled,No,Yes,,GSM 900 / 1800 / 1900,,WAP,176 x 220 pixels (~113 ppi density),Up to 8 h 30 min,miniSD,,,,,,"2007, May",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9m.gif,"2.5 inches, 19.7 cm2(~37.5% screen-to-body ratio)",Philips Xenium 9@9m,,"SMS, EMS, MMS, Email","Executive silver, Rusted brown","TFT resistive touchscreen, 256K colors","1000 entries, Photocall",Class 10,105 x 50 x 17.3 mm (4.13 x 1.97 x 0.68 in),70MB,miniUSB,No,No,No,,,,Yes,Removable Li-Po 1280 mAh battery,,,"Yes, MIDP 2.0"
,,"Second external OLED, monochrome display (64 x 64 pixels)4-way navigation key",,,Up to 740 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,"2.0, A2DP",2 embedded,0.28 W/kg (head),,MP3/AMR/AAC/MP4 playerPredictive text inputOrganizerFemale calendar,,,No,,Mini-SIM,,1.3 MP,82 g (2.89 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels,Up to 8 h 30 min,microSD (dedicated slot),,,,,,"2007, April",,GSM,No,0.93 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9r.gif,,Philips Xenium 9@9r,,"SMS, EMS, MMS, Email",Black,"TFT, 256K colors","Yes, Photocall",Class 10,97 x 52 x 16 mm (3.82 x 2.05 x 0.63 in),64MB,miniUSB,No,No,No,,,,QCIF,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
,,4-way navigation key,,,Up to 720 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,No,3 embedded,0.94 W/kg (head),,No,,Predictive text inputOrganizerVoice memo,No,,Mini-SIM,,,78 g (2.75 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 8 h 30 min,No,,,,,,"2007, April",,GSM,250 SMS storage capacity,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9h.gif,"1.8 inches, 10.2 cm2(~26.3% screen-to-body ratio)",Philips Xenium 9@9h,,SMS,Gray,"TFT, 65K colors","1000 entries, Photocall",Class 10,88 x 44 x 22 mm (3.46 x 1.73 x 0.87 in),2MB,miniUSB,No,No,FM radio,,,,,Removable Li-Ion 1100 mAh battery,,,No
,,4-way navigation key,,,Up to 240 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,3 embedded,0.71 W/kg (head),,MP3/MP4 playerOrganizer,,,No,,Mini-SIM,,VGA,80 g (2.82 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 3 h,microSD (dedicated slot),,,,,,"2007, July",,GSM,No,1.34 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-292.gif,"2.0 inches, 12.6 cm2(~24.2% screen-to-body ratio)",Philips 292,,"SMS, EMS, MMS",Black,"TFT, 256K colors",Yes,Class 10,106 x 49 x 9.8 mm (4.17 x 1.93 x 0.39 in),60MB,Proprietary,No,No,No,,,,120p,Removable Li-Ion 680 mAh battery,,,No
,,4-way navigation key,,,Up to 200 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,3 embedded,,,MP3 playerOrganizer,,,No,,Mini-SIM,,VGA,82 g (2.89 oz),,"30 received, dialed and missed calls",Cancelled,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 3 h,microSD (dedicated slot),,,,,,"2007, April",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-290.gif,"1.8 inches, 10.2 cm2(~22.7% screen-to-body ratio)",Philips 290,,"SMS, EMS, MMS",Black,"TFT, 256K colors",Yes,No,101 x 44.5 x 12.2 mm (3.98 x 1.75 x 0.48 in),6MB,Proprietary,No,No,No,,,,120p,Removable Li-Ion 620 mAh battery,,,No
LED flash,,No,,,Up to 740 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,1.1,Yes,0.82 W/kg (head),,,,,No,,Mini-SIM,,1.3 MP,86 g (3.03 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 8 h 30 min,No,,,,,,"2007, January",,GSM,Predictive text inputMP3 playerOrganizerWorld clockLunar calendarVoice commandVoice memo (up to 30 min),1.25 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9g.gif,"1.8 inches, 29 x 36 mm, 10.2 cm2(~21.0% screen-to-body ratio)",Philips Xenium 9@9g,,"SMS, MMS, Email",Black,"OLED, 256K colors","1000 entries, Photocall",Class 10,"105.6 x 46 x 15 mm, 68 cc (4.16 x 1.81 x 0.59 in)",18MB,Proprietary,No,No,No,,,,No,Removable Li-Ion 950 mAh battery,,,"Yes, MIDP 2.0"
,,4-way navigation key,,,Up to 740 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes,,,Predictive text inputOrganizerWorld clock,,,No,,Mini-SIM,,,77 g (2.72 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Up to 8 h 30 min,No,,,,,,"2007, January",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9f.gif,"1.5 inches, 27 x 27 mm, 7.3 cm2(~16.3% screen-to-body ratio)",Philips Xenium 9@9f,,"SMS,  MMS",Black,"OLED, 65K colors",1000 contacts,Class 10,"101 x 44 x 15.7 mm, 63 cc (3.98 x 1.73 x 0.62 in)",,No,No,No,No,,,,,Removable Li-Ion 950 mAh battery,,,"Yes, MIDP 2.0"
